sentence,P1,P2,P3
간장을 넣어 줍니다.,Statement ,Suggestion ,Suggestion 
돼지고기를 먹기 좋은 크기로 잘라 줍니다.,Statement ,Suggestion ,Suggestion 
가장자리가 익기 시작하면 김치전을 뒤집어 줍니다.,Statement ,Suggestion ,Suggestion 
커피 머신을 세척할거라 물을 가득 담아 줍니다.,Statement ,Statement ,Suggestion 
그사이에 후딱 편집을 해줍니다.,Statement ,Statement ,Suggestion 
이때 샐러드를 먹어 줍니다.,Statement ,Statement ,Suggestion 
저는 간장를 넣어 줍니다.,Statement ,Statement ,Statement 
저는 돼지고기를 먹기 좋은 크기로 잘라 줍니다.,Statement ,Statement ,Statement 
저는 가장자리가 익기 시작하면 김치전을 뒤집어 줍니다.,Statement ,Statement ,Statement 
제가 커피 머신을 세척할거라 물을 가득 담아 줍니다.,Statement ,Statement ,Future Intention
저는 그사이에 후딱 편집을 해줍니다.,Statement ,Statement ,Statement 
저는 이때 샐러드를 먹어 줍니다.,Statement ,Statement ,Statement 
철수가 간장를 넣어 줍시다.,Suggestion ,Suggestion ,Suggestion 
철수가 돼지고기를 먹기 좋은 크기로 잘라 줍시다.,Suggestion ,Suggestion ,Suggestion 
철수가 가장자리가 익기 시작하면 김치전을 뒤집어 줍시다.,Suggestion ,Suggestion ,Suggestion 
철수가 커피 머신을 세척할거라 물을 가득 담아 줍시다.,Suggestion ,Future Intention,Suggestion 
철수가 그사이에 후딱 편집을 해줍시다.,Suggestion ,Suggestion ,Suggestion 
철수가 이때 샐러드를 먹어 줍니다.,Suggestion ,Suggestion ,Suggestion 
철수가 간장을 넣어 주세요.,Suggestion ,Suggestion ,Suggestion 
철수가 돼지고기를 먹기 좋은 크기로 잘라 주세요.,Suggestion ,Suggestion ,Suggestion 
철수가 가장자리가 익기 시작하면 김치전을 뒤집어 주세요.,Suggestion ,Suggestion ,Suggestion 
철수가 커피 머신을 세척할거라 물을 가득 담아 주세요.,Suggestion ,Suggestion ,Suggestion 
